Macrotrends Data Download



DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2008-12-29,1.2800
2008-12-30,1.2800
2008-12-31,1.3100
2009-01-02,1.4600
2009-01-05,1.5500
2009-01-06,1.6100
2009-01-07,1.5400
2009-01-08,1.5300
2009-01-09,1.4900
2009-01-12,1.4900
2009-01-13,1.5200
2009-01-14,1.4600
2009-01-15,1.4800
2009-01-16,1.4600
2009-01-20,1.4100
2009-01-21,1.4000
2009-01-22,1.3500
2009-01-23,1.4500
2009-01-26,1.4300
2009-01-27,1.3900
2009-01-28,1.4300
2009-01-29,1.4300
2009-01-30,1.4400
2009-02-02,1.3900
2009-02-03,1.3300
2009-02-04,1.3300
2009-02-05,1.3700
2009-02-06,1.3600
2009-02-09,1.3600
2009-02-10,1.3100
2009-02-11,1.3300
2009-02-12,1.3300
2009-02-13,1.3100
2009-02-17,1.1900
2009-02-18,1.1500
2009-02-19,1.2000
2009-02-20,1.1900
2009-02-23,1.1700
2009-02-24,1.2100
2009-02-25,1.2400
2009-02-26,1.2800
2009-02-27,1.2700
2009-03-02,1.1500
2009-03-03,1.1700
2009-03-04,1.2100
2009-03-05,1.1600
2009-03-06,1.2200
2009-03-09,1.2000
2009-03-10,1.1800
2009-03-11,1.1200
2009-03-12,1.2000
2009-03-13,1.1800
2009-03-16,1.2000
2009-03-17,1.2500
2009-03-18,1.2700
2009-03-19,1.3300
2009-03-20,1.3600
2009-03-23,1.4500
2009-03-24,1.4700
2009-03-25,1.4400
2009-03-26,1.4600
2009-03-27,1.4200
2009-03-30,1.3400
2009-03-31,1.3400
2009-04-01,1.3200
2009-04-02,1.4200
2009-04-03,1.4300
2009-04-06,1.4000
2009-04-07,1.3700
2009-04-08,1.3900
2009-04-09,1.4100
2009-04-13,1.3800
2009-04-14,1.3800
2009-04-15,1.3900
2009-04-16,1.4000
2009-04-17,1.4100
2009-04-20,1.3100
2009-04-21,1.3300
2009-04-22,1.3200
2009-04-23,1.3000
2009-04-24,1.3500
2009-04-27,1.3100
2009-04-28,1.3000
2009-04-29,1.3100
2009-04-30,1.3000
2009-05-01,1.3500
2009-05-04,1.4000
2009-05-05,1.3900
2009-05-06,1.4300
2009-05-07,1.4400
2009-05-08,1.4800
2009-05-11,1.4600
2009-05-12,1.4800
2009-05-13,1.4600
2009-05-14,1.4500
2009-05-15,1.3900
2009-05-18,1.4500
2009-05-19,1.4700
2009-05-20,1.5200
2009-05-21,1.5100
2009-05-22,1.5300
2009-05-26,1.5300
2009-05-27,1.5300
2009-05-28,1.5900
2009-05-29,1.6400
2009-06-01,1.7300
2009-06-02,1.7700
2009-06-03,1.6900
2009-06-04,1.7300
2009-06-05,1.7500
2009-06-08,1.7500
2009-06-09,1.7700
2009-06-10,1.7900
2009-06-11,1.8100
2009-06-12,1.8000
2009-06-15,1.7700
2009-06-16,1.7900
2009-06-17,1.8200
2009-06-18,1.7900
2009-06-19,1.7500
2009-06-22,1.6800
2009-06-23,1.7200
2009-06-24,1.6900
2009-06-25,1.7300
2009-06-26,1.6900
2009-06-29,1.7400
2009-06-30,1.7200
2009-07-01,1.7000
2009-07-02,1.6400
2009-07-06,1.5600
2009-07-07,1.5200
2009-07-08,1.4700
2009-07-09,1.4700
2009-07-10,1.5000
2009-07-13,1.4700
2009-07-14,1.4800
2009-07-15,1.5500
2009-07-16,1.5600
2009-07-17,1.6200
2009-07-20,1.6600
2009-07-21,1.6900
2009-07-22,1.7000
2009-07-23,1.7500
2009-07-24,1.7700
2009-07-27,1.7800
2009-07-28,1.7500
2009-07-29,1.6500
2009-07-30,1.7500
2009-07-31,1.7900
2009-08-03,1.8500
2009-08-04,1.8800
2009-08-05,1.9300
2009-08-06,1.9100
2009-08-07,1.8900
2009-08-10,1.9100
2009-08-11,1.8800
2009-08-12,1.8700
2009-08-13,1.8900
2009-08-14,1.8200
2009-08-17,1.8100
2009-08-18,1.8500
2009-08-19,1.9000
2009-08-20,1.8700
2009-08-21,1.8900
2009-08-24,1.9000
2009-08-25,1.8300
2009-08-26,1.8400
2009-08-27,1.8500
2009-08-28,1.8500
2009-08-31,1.7700
2009-09-01,1.7300
2009-09-02,1.7200
2009-09-03,1.7100
2009-09-04,1.6800
2009-09-08,1.7400
2009-09-09,1.7500
2009-09-10,1.7500
2009-09-11,1.6900
2009-09-14,1.7000
2009-09-15,1.7400
2009-09-16,1.7900
2009-09-17,1.8100
2009-09-18,1.7900
2009-09-21,1.7200
2009-09-22,1.7800
2009-09-23,1.7300
2009-09-24,1.6600
2009-09-25,1.6500
2009-09-28,1.6700
2009-09-29,1.6800
2009-09-30,1.8100
2009-10-01,1.7900
2009-10-02,1.7600
2009-10-05,1.7600
2009-10-06,1.7900
2009-10-07,1.7600
2009-10-08,1.8100
2009-10-09,1.8400
2009-10-12,1.8700
2009-10-13,1.9000
2009-10-14,1.9200
2009-10-15,1.9900
2009-10-16,2.0000
2009-10-19,2.0200
2009-10-20,2.0100
2009-10-21,2.0700
2009-10-22,2.0700
2009-10-23,2.0400
2009-10-26,2.0200
2009-10-27,2.0400
2009-10-28,1.9700
2009-10-29,2.0500
2009-10-30,1.9700
2009-11-02,2.0100
2009-11-03,2.0300
2009-11-04,2.0300
2009-11-05,2.0100
2009-11-06,1.9500
2009-11-09,2.0000
2009-11-10,2.0000
2009-11-11,2.0200
2009-11-12,1.9600
2009-11-13,1.9300
2009-11-16,2.0000
2009-11-17,2.0300
2009-11-18,2.0200
2009-11-19,1.9700
2009-11-20,1.9500
2009-11-23,1.9400
2009-11-24,1.9200
2009-11-25,1.9600
2009-11-27,1.9400
2009-11-30,1.9800
2009-12-01,2.0200
2009-12-02,1.9800
2009-12-03,1.9900
2009-12-04,1.9900
2009-12-07,1.9700
2009-12-08,1.9400
2009-12-09,1.8700
2009-12-10,1.8600
2009-12-11,1.8800
2009-12-14,1.8800
2009-12-15,1.8700
2009-12-16,1.9400
2009-12-17,1.9200
2009-12-18,1.9300
2009-12-21,1.9100
2009-12-22,1.9100
2009-12-23,1.9800
2009-12-24,2.0300
2009-12-28,2.0900
2009-12-29,2.1100
2009-12-30,2.1100
2009-12-31,2.1100
2010-01-04,2.1800
2010-01-05,2.1900
2010-01-06,2.2000
2010-01-07,2.1700
2010-01-08,2.1900
2010-01-11,2.1700
2010-01-12,2.1200
2010-01-13,2.0800
2010-01-14,2.0600
2010-01-15,2.0300
2010-01-19,2.0300
2010-01-20,1.9900
2010-01-21,1.9700
2010-01-22,1.9200
2010-01-25,1.9500
2010-01-26,1.9400
2010-01-27,1.9100
2010-01-28,1.9100
2010-01-29,1.8900
2010-02-01,1.9600
2010-02-02,2.0300
2010-02-03,2.0200
2010-02-04,1.9300
2010-02-05,1.8900
2010-02-08,1.8800
2010-02-09,1.9400
2010-02-10,1.9400
2010-02-11,1.9400
2010-02-12,1.9100
2010-02-16,1.9800
2010-02-17,1.9900
2010-02-18,2.0400
2010-02-19,2.0600
2010-02-22,2.0600
2010-02-23,2.0100
2010-02-24,2.0300
2010-02-25,1.9700
2010-02-26,2.0200
2010-03-01,2.0100
2010-03-02,2.0500
2010-03-03,2.0900
2010-03-04,2.0600
2010-03-05,2.1000
2010-03-08,2.0900
2010-03-09,2.0700
2010-03-10,2.1000
2010-03-11,2.1100
2010-03-12,2.0900
2010-03-15,2.0400
2010-03-16,2.1100
2010-03-17,2.1200
2010-03-18,2.1000
2010-03-19,2.0700
2010-03-22,2.0700
2010-03-23,2.0800
2010-03-24,2.0500
2010-03-25,2.0600
2010-03-26,2.0700
2010-03-29,2.1100
2010-03-30,2.1200
2010-03-31,2.1600
2010-04-01,2.2100
2010-04-05,2.2500
2010-04-06,2.2400
2010-04-07,2.2100
2010-04-08,2.2100
2010-04-09,2.2000
2010-04-12,2.1900
2010-04-13,2.1800
2010-04-14,2.2200
2010-04-15,2.2300
2010-04-16,2.1900
2010-04-19,2.1300
2010-04-20,2.1500
2010-04-21,2.1800
2010-04-22,2.1900
2010-04-23,2.2300
2010-04-26,2.2100
2010-04-27,2.1900
2010-04-28,2.2000
2010-04-29,2.2300
2010-04-30,2.2700
2010-05-03,2.3400
2010-05-04,2.2600
2010-05-05,2.1600
2010-05-06,2.0900
2010-05-07,2.0700
2010-05-10,2.1100
2010-05-11,2.1200
2010-05-12,2.1600
2010-05-13,2.1200
2010-05-14,2.0600
2010-05-17,1.9900
2010-05-18,1.9600
2010-05-19,1.9400
2010-05-20,1.8800
2010-05-21,1.8900
2010-05-24,1.8900
2010-05-25,1.8800
2010-05-26,1.9000
